연도,수량,연료,차종별
2019,"4,264",기타,화물차
2020,"2,456",휘발유,화물차
2020,"296,124",경유,화물차
2020,"24,201",LPG,화물차
2020,"2,228",전기,화물차
2020,416,CNG,화물차
2020,"4,518",기타,화물차
2021,"2,798",휘발유,화물차
2021,"290,800",경유,화물차
2021,"22,718",LPG,화물차
2021,"4,787",전기,화물차
2021,368,CNG,화물차
2021,5,하이브리드,화물차
2021,-,수소,화물차
2021,"4,949",기타,화물차
2022,"3,023",휘발유,화물차
2022,"285,435",경유,화물차
2022,"21,324",LPG,화물차
2022,"7,409",전기,화물차
2022,325,CNG,화물차
2022,9,하이브리드,화물차
2022,-,수소,화물차
2022,"5,181",기타,화물차
2023,"3,161",휘발유,화물차
2023,"273,447",경유,화물차
2023,"20,238",LPG,화물차
2023,"10,087",전기,화물차
2023,301,CNG,화물차
2023,12,하이브리드,화물차
2023,5,수소,화물차
2023,"5,339",기타,화물차
2024,"3,249",휘발유,화물차
2024,"257,311",경유,화물차
2024,"27,887",LPG,화물차
2024,"10,592",전기,화물차
2024,301,CNG,화물차
2024,405,하이브리드,화물차
2024,5,수소,화물차
2024,"5,250",기타,화물차
2015,21,휘발유,특수차
2015,"6,548",경유,특수차
2015,92,LPG,특수차
2015,3,CNG,특수차
2015,78,기타,특수차
2016,19,휘발유,특수차
2016,"6,974",경유,특수차
2016,88,LPG,특수차
2016,3,CNG,특수차
2016,97,기타,특수차
2017,18,휘발유,특수차
2017,"7,349",경유,특수차
2017,84,LPG,특수차
2017,1,전기,특수차
2017,3,CNG,특수차
2017,126,기타,특수차
2018,18,휘발유,특수차
2018,"7,760",경유,특수차
2018,80,LPG,특수차
2018,1,전기,특수차
2018,3,CNG,특수차
2018,131,기타,특수차
2019,18,휘발유,특수차
2019,"7,982",경유,특수차
2019,82,LPG,특수차
2019,1,전기,특수차
2019,2,CNG,특수차
2019,119,기타,특수차
2020,18,휘발유,특수차
2020,"8,487",경유,특수차
2020,103,LPG,특수차
2020,20,전기,특수차
2020,1,CNG,특수차
2020,301,기타,특수차
2021,22,휘발유,특수차
2021,"9,068",경유,특수차
2021,118,LPG,특수차
2021,26,전기,특수차
2021,1,CNG,특수차
2021,-,하이브리드,특수차
2021,-,수소,특수차
2021,636,기타,특수차
2022,24,휘발유,특수차
2022,"9,801",경유,특수차
2022,148,LPG,특수차
2022,31,전기,특수차
2022,-,CNG,특수차
2022,-,하이브리드,특수차
2022,-,수소,특수차
2022,826,기타,특수차
2023,29,휘발유,특수차
2023,"10,223",경유,특수차
2023,158,LPG,특수차
2023,45,전기,특수차
2023,-,CNG,특수차
2023,-,하이브리드,특수차
2023,-,수소,특수차
2023,934,기타,특수차
2024,37,휘발유,특수차
2024,"10,246",경유,특수차
2024,248,LPG,특수차
2024,72,전기,특수차
2024,-,CNG,특수차
2024,19,하이브리드,특수차
2024,-,수소,특수차
2024,977,기타,특수차
